Actor,Birthplace,Birthdate,Nationality,Ethnicity,Height,Weight,Tit Size,Cup Size,Measurements,Hair Color,Eye Color,Years Active,Alias
Sandra Star,"Berlin, Germany",1984-09-03,German,Caucasian,"5'7""",132,32,K,32K-27-36,Blonde,Brown,2010-present,None
Sandra Sturm,"Rodewisch, Brandenburg, Germany",1985-11-12,German,Caucasian,"5'9""",147,36,H,36H-26-36,Black,Green,2016-present,"'Anna von Morgenstern', 'Lisa Koenig'"
Sara St. Clair,"Cleveland, Ohio, United States of America",1991-12-03,American,Caucasian,"4'10""",94,34,F,34F-24-32,Blonde,Brown,2010-present,"'Diem Moore', 'Sara Christine', 'Sara St Clair'"
Sarah Banks,"Calabasas, California, United States of America",1997-04-23,American,Black,"5'0""",105,32,DD,32DD-25-36,Black,Brown,2016-present,None
Sarah Jessie,"Detroit, Michigan, United States of America",1977-12-26,American,Caucasian,"5'7""",110,32,D,32D-24-33,Blonde,Hazel,2006-present,None
Savana Styles,"Chicoutimi, Quebec, Canada",1982-12-26,Canadian,Caucasian,"5'8""",145.2,36,D,36D-26-35,Blonde,Blue,2015-present,"'Savannah Styles', 'Savannah Stylez'"
Savanah Gold,"Wakefield, West Yorkshire, United Kingdom",1984-10-29,British,Caucasian,"5'5""",117,32,EE,32EE-24-34,Blonde,Green,2004–2011,"'Jenny', 'Natalie Heck', 'Saranah Gold', 'Savana Gold', 'Savanah Gold', 'Savannah'"
Savannah Bond,"Melbourne, Victoria, Australia",1990-06-06,Australian,Caucasian,"5'3""",129.8,34,G,34G-26-39,Blonde,Blue,2016-present,None
Savannah Stevens,"Houston, Texas, United States of America",1993-06-04,American,Caucasian,"5'5""",112.2,32,E,32E-25-35,Blonde,Blue,2015-2015,"'Angeline', 'Atlanta Blue'"
September Reign,"Sacramento, California, United States of America",1990-09-15,American,Black,"5'4""",103.4,34,D,34D-24-33,Brown,Hazel,2015-present,None
Shalina Devine,"Bucharest, Romania",1986-05-27,Romanian,Caucasian,"5'4""",105.6,34,D,34D-24-36,Black,Green,2009-present,"'Chalina Devine', 'Cosmina', 'Elena', 'Naza', 'Naza A', 'Naza A.', 'Shalina', 'Shalina Divine', 'Shalina Levine', 'Shlina Devine'"
Shay Evans,"Puerto Rico, United States of America",1991-09-27,Puerto Rican,Latin,"5'0""",92,32,D,32D-22-29,Brown,Brown,2015-present,"'Cherokee Neal', 'Gia Milana'"
Shyla Stylez,"Armstrong, British Columbia, Canada",1982-09-23,Canadian,Caucasian,"5'3""",107.8,36,E,36E-23-32,Blonde,Green,2000-2017,"'Amanda Auclair', 'Amanda Hardy', 'Shyla Styles', 'Shyla Stylex', 'Shylah Stylez'"
Sienna Day,"Darlington, England, United Kingdom",1991-05-07,British,Caucasian,"5'4""",118.8,30,DD,30DD-24-32,Blonde,Blue,2013-present,"'Senna Day', 'Siena Day'"
Skyla Novea,"Miami, Florida, United States of America",1994-05-07,American,Caucasian,"5'9""",134.2,34,E,34E-28-37,Auburn,Brown,2013-present,"'Ginger Elle', 'Ginger Ellee', 'Mayleena Smith', 'Nena Starzz', 'Percilla Riclof'"
Skyler McKay,"Scotland, United Kingdom",1992-12-31,British,Caucasian,"5'3""",108,28,F,28F-23-32,Blonde,Brown,2008-present,'Skylar Mckay'
Sophia Deluxe,United States of America,1985-05-11,American,Caucasian,"5'8""",145.2,38,D,38D-26-38,Blonde,Brown,2020-present,None
Sophie Anderson,"Bristol, England, United Kingdom",1987-11-23,British,Caucasian,"5'7""",134.2,32,GG,32GG-26-30,Blonde,Blue,2017-present,'Naughty Girl Soph'
Subil Arch,"Oest-Nera, Russia",1989-04-12,Russian,Caucasian,"5'3""",112.2,36,DD,36DD-23-35,Brown,Blue,2012-present,"'Sibul Arch', 'Subie Arch', 'Subil A', 'Subil Arsh'"
Summer Brielle,"Tennessee, United States of America",1987-02-07,American,Caucasian,"5'9""",125.4,34,G,34G-25-36,Blonde,Blue,2010-present,"'Briele Taylor', 'Brielle Taylor', 'Brielle Tylor', 'Laura DeBord', 'Summer Brielle Taylor', 'Summer Taylor'"
Susy Gala,"Barcelona, Catalonia, Spain",1993-11-11,Spanish,Caucasian,"5'9""",121,36,D,36D-25-35,Black,Blue,2011-present,"'Susi Gala', 'Suzy Gala'"
Tana Lea,"Austin, Texas, United States of America",1988-03-09,American,Caucasian,"5'7""",121,34,DD,34DD-24-36,Auburn,Green,2017-present,'Kennedy Blake'
Taylor Rose,,,,caucasian,,,,,,brown,,,None
Teagan Presley,"The Woodlands, Texas, United States of America",1985-07-24,American,Caucasian,"5'0""",101.2,34,D,34D-24-34,Auburn,Green,2004-present,"'Ashley Erickson', 'Teagan Presly', 'Tegan Presley'"
Tegan James,"Los Angeles, California, United States of America",1980-06-24,American,Caucasian,"5'5""",123,32,F,32F-24-34,Blonde,Brown,2016-present,None
Tia Cyrus,"Hayward, California, United States of America",1990-10-30,American,Latin,"5'0""",90.2,32,DD,32DD-24-34,Black,Brown,2010-present,"'Evelyn Everhard', 'Jasmine Lopez', 'Tia Bleu'"
Tia McKenzie,"Florida, United States of America",1985-10-11,American,Caucasian,"5'3""",110,34,D,34D-25-34,Blonde,Blue,2011-present,"'London Reagan', 'Reagan Wayne', 'Tia Mckenzie'"
Tiffany Chambers,,,,,,,,,,,,,nan
Tiffany James,"Brighton, England, United Kingdom",1984-11-29,British,Caucasian,"5'2""",112,34,DD,34DD-25-36,Blonde,Brown,2012-2019,'Tiffany MFC'
Tiffany Leiddi,"Rouen, Normandy - Upper, France",1994-12-26,French,Caucasian,"5'0""",101,34,D,34D-24-34,Brown,Blue,2017-present,"'Tiffani Leiddi', 'Tiffany (jacquieetmicheltv.net)', 'Tiffany Leidi'"
Tiffany Rousso,"Budapest, Hungary",1985-01-29,Hungarian,Caucasian,"5'6""",121,36,D,36D-25-37,Blonde,Green,2004-present,"'Tifanny Russo', 'Tifany Russo', 'Tiffany Rosso', 'Tiffany Rouso', 'Tiffany Rousse', 'Tiffany Russo'"
Tommie Jo,"London, England, United Kingdom",1986-10-31,British,Caucasian,"5'7""",129.8,32,HH,32HH-26-36,Blonde,Blue,2010-present,"'TJ', 'Tommi Jo', 'Tommie Jo Connoly'"
Tori Cummings,"Sydney, Australia",1980-05-14,Australian,Caucasian,"5'8""",125.4,34,G,34G-25-34,Blonde,Blue,2020-present,'Victoria Cummings'
Tyler Faith,"Boston, Massachusetts, United States of America",1975-04-03,American,Caucasian,"5'7""",116.6,34,D,34D-25-35,Blonde,Brown,2002-present,'Kisses'
Tylo Duran,"Arlington, Texas, United States of America",1972-01-01,American,Caucasian,"5'4""",112.2,36,DD,36DD-25-34,Blonde,Green,2016-present,None
Valentina Ricci,"Brussels, Brussels-Capital, Belgium",1992-08-31,Belgian,Caucasian,"5'5""",134.2,38,D,38D-25-36,Black,Green,2016-present,'Valentina Belge'
Valeria Visconti,"Urbino, Pesaro e Urbino, Italy",1970-05-04,Italian,Caucasian,"5'3""",121,34,D,34D-23-34,Black,Brown,2015-present,None
Vanessa Skye,"New Jersey, United States of America",1990-12-06,American,Caucasian,"4'9""",125,32,DD,32DD-26-32,Blonde,Blue,2019-present,None
Vanilla Deville,"Detroit, Michigan, United States of America",1970-12-12,American,Caucasian,"5'4""",103.4,34,DD,34DD-23-32,Black,Brown,1999-present,"'Janilla DeVille', 'Vanila Deville', 'Vanilla De Ville'"
Vee VonSweets,,1987-11-09,,,,,,,,,Brown,,None
Veronica Rayne,"Newburyport, Massachusetts, United States of America",1976-11-29,American,Caucasian,"5'4""",114.4,34,E,34E-24-31,Black,Hazel,2003-2015,"'Bunny Halifax', 'Mia East', 'Veronica', 'Veronica Rain', 'Veronica Raine', 'Veronica Riene'"
Veronica Vain,"Savannah, Georgia, United States of America",1991-05-03,American,Caucasian,"5'3""",118.8,34,DD,34DD-26-36,Red,Brown,2015-2016,"'Paige A. Jennings', 'Paige Jennings'"
Victoria June,"Brooklyn, New York, United States of America",1992-05-06,American,Latin,"5'3""",107.8,32,E,32E-26-34,Black,Hazel,2017-present,'Victoria Vice'
Victoria Lobov,Russia,1972-01-03,Russian,Caucasian,"5'6""",125,34,DDD,34DDD-28-39,Blonde,Green,2019-present,'Arinka Kalinka'
Violet Black,"Szolnok, Hungary",1992-06-08,Hungarian,Caucasian,"5'6""",128,34,DD,34DD-26-38,Black,Blue,2014-2015,'Chladek Vanda'
Violet Jade,United States of America,1995-03-18,American,Caucasian,,,,,,Black,Brown,2018-present,'Violet Jade'
Vittoria Risi,"Pellestrina, Venice, Italy",1978-11-03,Italian,Caucasian,"5'9""",118.8,36,DDD,36DDD-26-38,Blonde,Blue,2007–2017,"'Tiziana Zennaro', 'Vittoria Arisi', 'Vittoria Guidi'"
Vivian Azure,"Toronto, Ontario, Canada",1990-06-01,Canadian,Caucasian,"5'7""",123.2,34,D,,Brown,Hazel,2017-2017,None
Yasmine James,,1991-11-26,,,,,,,,,Blue,,None
Yiny Leon,,,,,,,,,,,,,nan
Yurizan Beltran,"Long Beach, California, United States of America",1986-11-02,American,Latin,"5'4""",121,32,E,32E-24-34,Brown,Brown,2003–2017,"'Sweet Yurizan', 'Yuri Luv', 'YuriLuv'"
Zara DuRose,"Hitchin, Hertfordshire, England",1990-06-24,British,Caucasian,"5'6""",121,36,E,36E-25-37,Red,Hazel,2013-present,"'Zara De Rose', 'Zara Du Rose', 'Zara DuRose'"
Zoey Portland,"Kansas, United States of America",1985-10-10,American,Caucasian,"5'8""",118.8,34,DD,34DD-24-32,Blonde,Hazel,2013-2017,'Zoey Portland XXX'
